Started: 2026-06-22T19:36:54.397582
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/avishai_bsg2_sce_e1_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: avishai_models/MW-M15M8.25P367-primary-BSG2.short
 We have         1087 profile zones.
 We have         1087 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           37 points
 Total energy of the model =   -5.4327107516767090E+050  ergs
 Total energy of the bomb =    1.5432710751676711E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.203665E+07   1.300416E+08
    1000   2.766700E-01   9.471558E-04   1.941886E+06   6.276682E+08
    2000   6.366690E+00   1.715418E-02   1.006601E+04   7.710946E+09
    3000   3.121093E+01   2.374463E-02   3.936189E+02   2.987376E+10
    4000   5.272197E+01   1.898330E-02   1.142540E+02   4.716125E+10
    5000   7.285672E+01   2.522528E-02   5.267063E+01   6.500703E+10
    6000   1.083053E+02   4.847925E-02   2.030198E+01   1.052709E+11
    7000   1.922787E+02   1.362939E-01   4.952865E+00   2.473101E+11
    8000   3.681842E+02   2.052187E-01   9.711323E-01   6.023077E+11
    9000   6.085888E+02   2.733834E-01   2.732730E-01   1.111436E+12
   10000   9.011155E+02   2.370398E-01   1.749585E-01   1.703071E+12
   11000   1.053621E+03   1.267638E-01   2.054951E-01   2.006337E+12
   12000   1.199805E+03   1.746716E-01   1.184029E-01   2.290028E+12
   13000   1.409083E+03   2.454798E-01   6.224966E-02   2.692571E+12
   14000   1.690273E+03   3.121116E-01   3.463282E-02   3.246278E+12
   15000   2.027554E+03   3.443947E-01   2.066845E-02   3.875352E+12
   16000   2.410567E+03   4.108083E-01   1.269287E-02   4.595183E+12
   17000   2.850303E+03   4.577172E-01   8.046810E-03   5.414826E+12
   18000   3.349933E+03   5.544289E-01   5.197446E-03   6.341086E+12
   19000   3.934458E+03   6.374205E-01   3.262868E-03   7.430027E+12
   20000   4.648426E+03   7.920781E-01   1.887814E-03   8.809270E+12
   21000   5.479204E+03   9.075368E-01   1.201135E-03   1.048833E+13
 Time of breakout is   6304.6008073943958     
   22000   6.490447E+03   1.147110E+00   6.599661E-04   1.292149E+13
 finished tracing the shock position
   23000   7.789595E+03   1.434550E+00   3.662180E-04   1.735769E+13
   24000   9.450737E+03   1.918605E+00   1.994410E-04   2.432240E+13
   25000   1.177057E+04   2.772518E+00   8.539174E-05   3.425546E+13
   26000   1.494498E+04   3.525120E+00   3.735224E-05   4.811461E+13
   27000   1.888423E+04   4.405128E+00   1.619603E-05   6.553522E+13
   28000   2.387441E+04   5.646160E+00   6.868025E-06   8.779043E+13
   29000   3.034773E+04   7.406794E+00   2.909910E-06   1.168163E+14
   30000   3.890863E+04   9.500000E+00   1.222687E-06   1.552278E+14
   31000   4.829581E+04   8.731640E+00   5.761704E-07   1.972357E+14
   32000   5.587354E+04   6.762023E+00   3.520040E-07   2.310520E+14
   33000   6.209624E+04   5.852529E+00   2.477422E-07   2.587603E+14
   34000   6.771266E+04   5.498565E+00   1.850474E-07   2.837213E+14
   35000   7.310978E+04   5.566523E+00   1.432454E-07   3.076637E+14
   36000   7.856382E+04   5.620601E+00   1.128098E-07   3.318194E+14
   37000   8.450886E+04   5.864161E+00   8.867680E-08   3.581107E+14
   38000   9.081255E+04   6.734935E+00   6.988959E-08   3.859504E+14
   39000   9.787347E+04   7.176851E+00   5.453861E-08   4.170965E+14
   40000   1.056268E+05   8.250867E+00   4.240768E-08   4.512612E+14
   41000   1.146203E+05   9.446779E+00   3.241558E-08   4.908573E+14
   42000   1.240899E+05   9.500000E+00   2.498330E-08   5.325301E+14
   43000   1.335899E+05   9.500000E+00   1.962041E-08   5.743349E+14
   44000   1.430899E+05   9.500000E+00   1.568068E-08   6.161560E+14
   45000   1.525899E+05   9.500000E+00   1.272393E-08   6.580078E+14
   46000   1.620899E+05   9.500000E+00   1.045703E-08   6.999002E+14
   47000   1.715899E+05   9.500000E+00   8.691275E-09   7.418382E+14
   48000   1.810899E+05   9.500000E+00   7.298875E-09   7.838201E+14
   49000   1.905899E+05   9.500000E+00   6.186664E-09   8.258430E+14
