Started: 2026-06-16T08:55:01.784607
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/stripped_baseline)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/stripped_star.short
 We have         1482 profile zones.
 We have         1482 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           33 points
 Total energy of the model =   -8.9562888629634544E+050  ergs
 Total energy of the bomb =    1.8956288862963454E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   1.118719E+08   9.370999E+07
    1000   1.980358E-01   6.703666E-04   7.078950E+06   4.400876E+08
    2000   3.834446E+00   9.833318E-03   5.624095E+04   4.659178E+09
    3000   2.205040E+01   2.092214E-02   2.595454E+03   2.098014E+10
    4000   4.292115E+01   2.101252E-02   6.124457E+02   3.786620E+10
    5000   6.576756E+01   2.771480E-02   2.318388E+02   5.826373E+10
    6000   9.806455E+01   3.469997E-02   9.186517E+01   9.267432E+10
    7000   1.362209E+02   4.342830E-02   4.195714E+01   1.397141E+11
    8000   1.960879E+02   8.527988E-02   1.763471E+01   2.317657E+11
    9000   3.095655E+02   1.506831E-01   5.800607E+00   4.489848E+11
   10000   4.799600E+02   1.900380E-01   1.998343E+00   9.016695E+11
 finished tracing the shock position
 Time of breakout is   675.38310171833064     
   11000   6.903938E+02   2.327610E-01   8.101448E-01   1.728760E+12
   12000   9.421448E+02   2.729451E-01   3.780125E-01   3.343456E+12
   13000   1.238593E+03   3.186270E-01   1.899626E-01   5.455461E+12
   14000   1.580296E+03   3.665672E-01   1.024435E-01   7.948156E+12
   15000   1.974345E+03   4.229977E-01   5.734383E-02   1.085481E+13
   16000   2.430817E+03   4.934012E-01   3.263287E-02   1.424395E+13
   17000   2.965215E+03   5.767951E-01   1.885680E-02   1.822886E+13
   18000   3.585961E+03   6.707031E-01   1.113839E-02   2.287186E+13
   19000   4.321701E+03   8.102644E-01   6.371960E-03   2.838751E+13
   20000   5.236998E+03   1.031211E+00   3.420974E-03   3.526152E+13
   21000   6.414823E+03   1.344900E+00   1.767883E-03   4.412023E+13
   22000   7.990358E+03   1.840592E+00   8.473397E-04   5.598526E+13
   23000   1.019597E+04   2.653444E+00   3.618735E-04   7.261353E+13
