Started: 2026-06-16T10:17:44.868009
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/stripped_e0p5_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/stripped_star.short
 We have         1482 profile zones.
 We have         1482 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           33 points
 Total energy of the model =   -8.9562888629634544E+050  ergs
 Total energy of the bomb =    1.3956288862963454E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   1.118719E+08   9.370999E+07
    1000   3.291048E-01   1.384176E-03   3.628052E+06   5.748658E+08
    2000   9.965651E+00   2.375455E-02   3.624771E+04   9.164434E+09
    3000   3.760906E+01   2.758416E-02   5.194646E+03   2.762277E+10
    4000   6.514045E+01   2.853252E-02   2.361859E+03   4.551952E+10
    5000   1.000293E+02   4.221576E-02   1.519013E+03   7.217884E+10
    6000   1.448056E+02   4.839854E-02   1.337736E+03   1.116311E+11
    7000   2.013063E+02   7.139444E-02   1.935300E+03   1.706723E+11
    8000   2.835685E+02   7.303953E-02   7.266206E+03   2.786878E+11
    9000   3.577583E+02   8.183182E-02   5.399384E+03   3.883199E+11
   10000   4.658800E+02   1.153742E-01   3.367513E+03   5.754786E+11
   11000   5.633849E+02   9.118275E-02   5.859938E+03   7.758264E+11
   12000   6.567997E+02   1.015191E-01   4.393973E+03   9.937164E+11
   13000   7.640619E+02   1.021339E-01   4.556301E+03   1.348729E+12
   14000   8.627758E+02   9.866711E-02   5.102617E+03   1.594055E+12
 finished tracing the shock position
 Time of breakout is   866.32882682318746     
   15000   9.643455E+02   1.050630E-01   4.611400E+03   2.070976E+12
   16000   1.065466E+03   9.751239E-02   5.162219E+03   2.577944E+12
   17000   1.162851E+03   9.804401E-02   5.201413E+03   3.091965E+12
   18000   1.261758E+03   9.819417E-02   5.204679E+03   3.627086E+12
   19000   1.359706E+03   9.885446E-02   5.135146E+03   4.165115E+12
   20000   1.459703E+03   1.008314E-01   4.999866E+03   4.720110E+12
   21000   1.560434E+03   1.005076E-01   5.019777E+03   5.283451E+12
   22000   1.661776E+03   1.025315E-01   4.831606E+03   5.853506E+12
   23000   1.764099E+03   1.017650E-01   4.905982E+03   6.431737E+12
   24000   1.865259E+03   1.006935E-01   5.004393E+03   7.005517E+12
   25000   1.965933E+03   1.006992E-01   5.009390E+03   7.578271E+12
   26000   2.065662E+03   9.943489E-02   5.144800E+03   8.147094E+12
   27000   2.165170E+03   9.982985E-02   5.069455E+03   8.715873E+12
   28000   2.265653E+03   1.003699E-01   5.027524E+03   9.291298E+12
   29000   2.365759E+03   1.000914E-01   5.059733E+03   9.865506E+12
   30000   2.466273E+03   1.007726E-01   5.017850E+03   1.044288E+13
   31000   2.566216E+03   9.946524E-02   5.129843E+03   1.101771E+13
   32000   2.665664E+03   9.938375E-02   5.148851E+03   1.159035E+13
   33000   2.765049E+03   9.920445E-02   5.155485E+03   1.216321E+13
   34000   2.864187E+03   9.921362E-02   5.156394E+03   1.273518E+13
   35000   2.963669E+03   1.001015E-01   5.062219E+03   1.330961E+13
   36000   3.063825E+03   9.978080E-02   5.091727E+03   1.388837E+13
   37000   3.163320E+03   9.938280E-02   5.124630E+03   1.446373E+13
   38000   3.263213E+03   1.000090E-01   5.077264E+03   1.504176E+13
   39000   3.363077E+03   9.984496E-02   5.108013E+03   1.561996E+13
   40000   3.463007E+03   1.004089E-01   5.049330E+03   1.619887E+13
   41000   3.563333E+03   1.002813E-01   5.065037E+03   1.678038E+13
   42000   3.663577E+03   1.002732E-01   5.058624E+03   1.736168E+13
   43000   3.764008E+03   1.004073E-01   5.047323E+03   1.794432E+13
   44000   3.864391E+03   1.004771E-01   5.046399E+03   1.852693E+13
   45000   3.964786E+03   1.003921E-01   5.053636E+03   1.910984E+13
   46000   4.065148E+03   1.003312E-01   5.050700E+03   1.969277E+13
   47000   4.165524E+03   1.000218E-01   5.065901E+03   2.027598E+13
   48000   4.265351E+03   9.977318E-02   5.112589E+03   2.085620E+13
   49000   4.365214E+03   1.001797E-01   5.071669E+03   2.143679E+13
   50000   4.465092E+03   9.971415E-02   5.117262E+03   2.201764E+13
   51000   4.564797E+03   9.976503E-02   5.103259E+03   2.259765E+13
   52000   4.664649E+03   9.967967E-02   5.112467E+03   2.317866E+13
   53000   4.764294E+03   9.965245E-02   5.126079E+03   2.375862E+13
   54000   4.863983E+03   9.984050E-02   5.106928E+03   2.433897E+13
   55000   4.963803E+03   9.992120E-02   5.097831E+03   2.492021E+13
   56000   5.063705E+03   9.991642E-02   5.094842E+03   2.550205E+13
   57000   5.163675E+03   9.993886E-02   5.096137E+03   2.608442E+13
   58000   5.263540E+03   9.982316E-02   5.110310E+03   2.666629E+13
   59000   5.363398E+03   9.991444E-02   5.093769E+03   2.724824E+13
   60000   5.463123E+03   9.954805E-02   5.127257E+03   2.782951E+13
   61000   5.562664E+03   9.971192E-02   5.109976E+03   2.840982E+13
   62000   5.662391E+03   9.957367E-02   5.125548E+03   2.899131E+13
   63000   5.761927E+03   9.954184E-02   5.122005E+03   2.957179E+13
   64000   5.861720E+03   9.979990E-02   5.102612E+03   3.015385E+13
   65000   5.961428E+03   9.960749E-02   5.125687E+03   3.073552E+13
   66000   6.061123E+03   9.987665E-02   5.101264E+03   3.131719E+13
   67000   6.161048E+03   9.990413E-02   5.097316E+03   3.190029E+13
   68000   6.260858E+03   9.977867E-02   5.109708E+03   3.248280E+13
   69000   6.360716E+03   9.989874E-02   5.101417E+03   3.306567E+13
   70000   6.460476E+03   9.962555E-02   5.124388E+03   3.364804E+13
   71000   6.560148E+03   9.975788E-02   5.110898E+03   3.422997E+13
   72000   6.659966E+03   9.973786E-02   5.110240E+03   3.481282E+13
   73000   6.759676E+03   9.979471E-02   5.102957E+03   3.539512E+13
   74000   6.859637E+03   1.000158E-01   5.090131E+03   3.597894E+13
   75000   6.959546E+03   9.986772E-02   5.096937E+03   3.656253E+13
   76000   7.059596E+03   1.001691E-01   5.077058E+03   3.714701E+13
   77000   7.159629E+03   9.986705E-02   5.097023E+03   3.773144E+13
   78000   7.259519E+03   9.994567E-02   5.093657E+03   3.831510E+13
   79000   7.359517E+03   1.000339E-01   5.086853E+03   3.889945E+13
   80000   7.459483E+03   9.992467E-02   5.097791E+03   3.948366E+13
   81000   7.559429E+03   9.995009E-02   5.090654E+03   4.006782E+13
   82000   7.659486E+03   9.999257E-02   5.085044E+03   4.065267E+13
   83000   7.759372E+03   9.986489E-02   5.104763E+03   4.123658E+13
   84000   7.859292E+03   1.001098E-01   5.076926E+03   4.182073E+13
   85000   7.959322E+03   9.994911E-02   5.094213E+03   4.240558E+13
   86000   8.059278E+03   9.997272E-02   5.087656E+03   4.299004E+13
   87000   8.159326E+03   9.994106E-02   5.090057E+03   4.357509E+13
   88000   8.259278E+03   9.996792E-02   5.094636E+03   4.415961E+13
   89000   8.359276E+03   1.000103E-01   5.088305E+03   4.474445E+13
   90000   8.459173E+03   9.989727E-02   5.102753E+03   4.532875E+13
   91000   8.559022E+03   9.984177E-02   5.104324E+03   4.591280E+13
