Started: 2026-06-16T10:26:10.131334
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/stripped_e2_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/stripped_star.short
 We have         1482 profile zones.
 We have         1482 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           33 points
 Total energy of the model =   -8.9562888629634544E+050  ergs
 Total energy of the bomb =    2.8956288862963454E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   1.118719E+08   9.370999E+07
    1000   1.167549E-01   2.806446E-04   1.615940E+07   3.390031E+08
    2000   1.121897E+00   2.363649E-03   2.547828E+05   1.922670E+09
    3000   6.893037E+00   1.021081E-02   1.051141E+04   9.758225E+09
    4000   2.087790E+01   1.540465E-02   9.917175E+02   2.509873E+10
    5000   3.620472E+01   1.559834E-02   2.728467E+02   4.160294E+10
    6000   5.437766E+01   2.270350E-02   1.026340E+02   6.415225E+10
    7000   7.929315E+01   2.664060E-02   4.052568E+01   1.005078E+11
    8000   1.091368E+02   3.545630E-02   1.819236E+01   1.512803E+11
    9000   1.564090E+02   5.549449E-02   7.434781E+00   2.531469E+11
   10000   2.174383E+02   6.610791E-02   3.238886E+00   4.074065E+11
   11000   2.888188E+02   7.662499E-02   1.585586E+00   6.281149E+11
   12000   3.706025E+02   7.704249E-02   1.276629E+00   9.351529E+11
   13000   4.169158E+02   3.665023E-02   1.634553E+00   1.187570E+12
   14000   4.582078E+02   4.773433E-02   1.056215E+00   1.381424E+12
 finished tracing the shock position
 Time of breakout is   505.88177562442934     
   15000   5.155221E+02   6.409000E-02   6.325433E-01   1.719116E+12
   16000   5.867394E+02   7.838872E-02   4.053595E-01   2.273066E+12
   17000   6.679670E+02   8.716618E-02   2.851834E-01   2.999475E+12
   18000   7.588200E+02   9.833643E-02   1.983595E-01   3.847283E+12
   19000   8.592685E+02   1.048075E-01   1.466748E-01   4.805180E+12
   20000   9.698747E+02   1.158244E-01   1.050177E-01   5.874048E+12
   21000   1.094780E+03   1.280085E-01   7.521449E-02   7.092119E+12
   22000   1.223933E+03   1.419149E-01   5.466323E-02   8.359771E+12
   23000   1.375312E+03   1.500477E-01   4.117442E-02   9.852838E+12
   24000   1.527804E+03   1.615907E-01   3.115800E-02   1.136259E+13
   25000   1.706181E+03   1.867653E-01   2.172863E-02   1.313395E+13
   26000   1.895541E+03   1.924524E-01   1.714660E-02   1.501911E+13
   27000   2.099711E+03   2.167988E-01   1.245575E-02   1.705587E+13
   28000   2.329343E+03   2.391770E-01   9.208510E-03   1.935063E+13
   29000   2.581606E+03   2.613955E-01   6.879345E-03   2.187535E+13
   30000   2.840873E+03   2.682265E-01   5.548423E-03   2.447345E+13
   31000   3.135217E+03   3.205529E-01   3.822629E-03   2.742627E+13
   32000   3.478915E+03   3.709705E-01   2.689789E-03   3.087766E+13
   33000   3.872237E+03   4.108517E-01   1.964470E-03   3.483101E+13
   34000   4.293576E+03   4.333405E-01   1.517246E-03   3.906936E+13
   35000   4.759306E+03   5.078490E-01   1.055456E-03   4.375753E+13
   36000   5.307056E+03   5.917799E-01   7.322787E-04   4.927482E+13
   37000   5.963235E+03   7.255515E-01   4.757669E-04   5.588823E+13
   38000   6.767396E+03   8.855214E-01   3.055275E-04   6.399766E+13
   39000   7.745248E+03   1.071091E+00   1.946353E-04   7.386382E+13
   40000   8.909303E+03   1.268544E+00   1.243499E-04   8.561428E+13
   41000   1.033443E+04   1.605825E+00   7.308936E-05   1.000063E+14
   42000   1.221918E+04   2.231563E+00   3.976089E-05   1.190473E+14
   43000   1.486625E+04   3.105454E+00   2.002857E-05   1.457994E+14
   44000   1.865340E+04   4.636640E+00   8.803944E-06   1.840852E+14
   45000   2.448489E+04   7.288655E+00   3.391510E-06   2.430511E+14
   46000   3.409825E+04   1.257318E+01   1.074413E-06   3.402687E+14
   47000   5.142880E+04   2.361473E+01   2.616394E-07   5.155257E+14
   48000   8.604746E+04   4.939112E+01   4.672020E-08   8.655494E+14
   49000   1.612377E+05   9.500000E+01   5.876769E-09   1.625539E+15
   50000   2.562377E+05   9.500000E+01   1.288333E-09   2.585442E+15
   51000   3.512377E+05   9.500000E+01   4.606191E-10   3.545109E+15
   52000   4.462377E+05   9.500000E+01   2.121630E-10   4.504586E+15
   53000   5.412377E+05   9.500000E+01   1.140497E-10   5.463878E+15
   54000   6.362377E+05   9.500000E+01   6.800120E-11   6.422976E+15
   55000   7.312377E+05   9.500000E+01   4.368339E-11   7.381858E+15
   56000   8.262377E+05   9.500000E+01   2.969009E-11   8.340497E+15
   57000   9.212377E+05   9.500000E+01   2.108883E-11   9.298856E+15
   58000   1.016238E+06   9.500000E+01   1.550697E-11   1.025689E+16
   59000   1.111238E+06   9.500000E+01   1.173349E-11   1.121454E+16
   60000   1.206238E+06   9.500000E+01   9.092714E-12   1.217174E+16
   61000   1.301238E+06   9.500000E+01   7.187308E-12   1.312843E+16
   62000   1.396238E+06   9.500000E+01   5.780647E-12   1.408453E+16
   63000   1.491238E+06   9.500000E+01   4.718569E-12   1.503999E+16
   64000   1.586238E+06   9.500000E+01   3.901205E-12   1.599475E+16
   65000   1.681238E+06   9.500000E+01   3.262020E-12   1.694878E+16
   66000   1.776238E+06   9.500000E+01   2.755038E-12   1.790202E+16
   67000   1.871238E+06   9.500000E+01   2.347803E-12   1.885447E+16
   68000   1.966238E+06   9.500000E+01   2.016962E-12   1.980608E+16
   69000   2.061238E+06   9.500000E+01   1.745424E-12   2.075687E+16
   70000   2.156238E+06   9.500000E+01   1.520698E-12   2.170680E+16
   71000   2.251238E+06   9.500000E+01   1.333046E-12   2.265590E+16
   72000   2.346238E+06   9.500000E+01   1.175020E-12   2.360415E+16
   73000   2.441238E+06   9.500000E+01   1.041001E-12   2.455157E+16
   74000   2.536238E+06   9.500000E+01   9.265996E-13   2.549816E+16
   75000   2.631238E+06   9.500000E+01   8.283561E-13   2.644394E+16
   76000   2.726238E+06   9.500000E+01   7.435169E-13   2.738891E+16
   77000   2.821238E+06   9.500000E+01   6.698728E-13   2.833309E+16
   78000   2.916238E+06   9.500000E+01   6.056372E-13   2.927649E+16
   79000   3.011238E+06   9.500000E+01   5.493552E-13   3.021912E+16
   80000   3.106238E+06   9.500000E+01   4.998332E-13   3.116099E+16
   81000   3.201238E+06   9.500000E+01   4.560865E-13   3.210211E+16
   82000   3.296238E+06   9.500000E+01   4.172974E-13   3.304249E+16
   83000   3.391238E+06   9.500000E+01   3.827834E-13   3.398214E+16
   84000   3.486238E+06   9.500000E+01   3.519716E-13   3.492108E+16
   85000   3.581238E+06   9.500000E+01   3.243786E-13   3.585930E+16
   86000   3.676238E+06   9.500000E+01   2.995952E-13   3.679681E+16
   87000   3.771238E+06   9.500000E+01   2.772726E-13   3.773363E+16
   88000   3.866238E+06   9.500000E+01   2.571130E-13   3.866977E+16
   89000   3.961238E+06   9.500000E+01   2.388608E-13   3.960522E+16
   90000   4.056238E+06   9.500000E+01   2.222996E-13   4.054000E+16
   91000   4.151238E+06   9.500000E+01   2.072372E-13   4.147412E+16
   92000   4.246238E+06   9.500000E+01   1.935050E-13   4.240757E+16
   93000   4.341238E+06   9.500000E+01   1.809594E-13   4.334038E+16
   94000   4.436238E+06   9.500000E+01   1.694750E-13   4.427253E+16
   95000   4.531238E+06   9.500000E+01   1.589419E-13   4.520405E+16
   96000   4.626238E+06   9.500000E+01   1.492638E-13   4.613493E+16
   97000   4.721238E+06   9.500000E+01   1.403555E-13   4.706519E+16
   98000   4.816238E+06   9.500000E+01   1.321420E-13   4.799482E+16
   99000   4.911238E+06   9.500000E+01   1.245570E-13   4.892385E+16
  100000   5.006238E+06   9.500000E+01   1.175414E-13   4.985226E+16
  101000   5.101238E+06   9.500000E+01   1.110428E-13   5.078007E+16
  102000   5.196238E+06   9.500000E+01   1.050145E-13   5.170729E+16
  103000   5.291238E+06   9.500000E+01   9.941473E-14   5.263392E+16
  104000   5.386238E+06   9.500000E+01   9.420601E-14   5.355997E+16
  105000   5.481238E+06   9.500000E+01   8.935484E-14   5.448544E+16
  106000   5.576238E+06   9.500000E+01   8.483105E-14   5.541034E+16
  107000   5.671238E+06   9.500000E+01   8.060751E-14   5.633468E+16
  108000   5.766238E+06   9.500000E+01   7.665970E-14   5.725847E+16
  109000   5.861238E+06   9.500000E+01   7.296550E-14   5.818170E+16
  110000   5.956238E+06   9.500000E+01   6.950486E-14   5.910439E+16
  111000   6.051238E+06   9.500000E+01   6.625961E-14   6.002654E+16
  112000   6.146238E+06   9.500000E+01   6.321327E-14   6.094816E+16
  113000   6.241238E+06   9.500000E+01   6.035082E-14   6.186926E+16
  114000   6.336238E+06   9.500000E+01   5.765860E-14   6.278984E+16
  115000   6.431238E+06   9.500000E+01   5.512413E-14   6.370991E+16
  116000   6.526238E+06   9.500000E+01   5.273604E-14   6.462947E+16
  117000   6.621238E+06   9.500000E+01   5.048391E-14   6.554853E+16
  118000   6.716238E+06   9.500000E+01   4.835819E-14   6.646710E+16
  119000   6.811238E+06   9.500000E+01   4.635015E-14   6.738519E+16
  120000   6.906238E+06   9.500000E+01   4.445175E-14   6.830279E+16
  121000   7.001238E+06   9.500000E+01   4.265562E-14   6.921992E+16
  122000   7.096238E+06   9.500000E+01   4.095495E-14   7.013658E+16
  123000   7.191238E+06   9.500000E+01   3.934350E-14   7.105278E+16
  124000   7.286238E+06   9.500000E+01   3.781547E-14   7.196853E+16
  125000   7.381238E+06   9.500000E+01   3.636556E-14   7.288382E+16
  126000   7.476238E+06   9.500000E+01   3.498883E-14   7.379867E+16
  127000   7.571238E+06   9.500000E+01   3.368071E-14   7.471309E+16
  128000   7.666238E+06   9.500000E+01   3.243700E-14   7.562707E+16
  129000   7.761238E+06   9.500000E+01   3.125376E-14   7.654062E+16
  130000   7.856238E+06   9.500000E+01   3.012738E-14   7.745376E+16
  131000   7.951238E+06   9.500000E+01   2.905448E-14   7.836648E+16
  132000   8.046238E+06   9.500000E+01   2.803192E-14   7.927880E+16
  133000   8.141238E+06   9.500000E+01   2.705678E-14   8.019071E+16
  134000   8.236238E+06   9.500000E+01   2.612635E-14   8.110222E+16
  135000   8.331238E+06   9.500000E+01   2.523810E-14   8.201334E+16
  136000   8.426238E+06   9.500000E+01   2.438965E-14   8.292408E+16
  137000   8.521238E+06   9.500000E+01   2.357881E-14   8.383443E+16
  138000   8.616238E+06   9.500000E+01   2.280352E-14   8.474441E+16
  139000   8.711238E+06   9.500000E+01   2.206184E-14   8.565402E+16
  140000   8.806238E+06   9.500000E+01   2.135199E-14   8.656327E+16
  141000   8.901238E+06   9.500000E+01   2.067231E-14   8.747215E+16
  142000   8.996238E+06   9.500000E+01   2.002127E-14   8.838068E+16
  143000   9.091238E+06   9.500000E+01   1.939728E-14   8.928887E+16
  144000   9.186238E+06   9.500000E+01   1.879895E-14   9.019670E+16
  145000   9.281238E+06   9.500000E+01   1.822498E-14   9.110420E+16
  146000   9.376238E+06   9.500000E+01   1.767414E-14   9.201137E+16
  147000   9.471238E+06   9.500000E+01   1.714527E-14   9.291820E+16
  148000   9.566238E+06   9.500000E+01   1.663729E-14   9.382471E+16
  149000   9.661238E+06   9.500000E+01   1.614919E-14   9.473090E+16
  150000   9.756238E+06   9.500000E+01   1.567999E-14   9.563678E+16
  151000   9.851238E+06   9.500000E+01   1.522879E-14   9.654234E+16
  152000   9.946238E+06   9.500000E+01   1.479474E-14   9.744760E+16
  153000   1.004124E+07   9.500000E+01   1.437702E-14   9.835256E+16
  154000   1.013624E+07   9.500000E+01   1.397489E-14   9.925722E+16
  155000   1.023124E+07   9.500000E+01   1.358761E-14   1.001616E+17
  156000   1.032624E+07   9.500000E+01   1.321451E-14   1.010657E+17
  157000   1.042124E+07   9.500000E+01   1.285494E-14   1.019695E+17
  158000   1.051624E+07   9.500000E+01   1.250831E-14   1.028730E+17
  159000   1.061124E+07   9.500000E+01   1.217402E-14   1.037762E+17
  160000   1.070624E+07   9.500000E+01   1.185154E-14   1.046792E+17
  161000   1.080124E+07   9.500000E+01   1.154035E-14   1.055819E+17
  162000   1.089624E+07   9.500000E+01   1.123996E-14   1.064843E+17
  163000   1.099124E+07   9.500000E+01   1.094990E-14   1.073865E+17
  164000   1.108624E+07   9.500000E+01   1.066974E-14   1.082884E+17
  165000   1.118124E+07   9.500000E+01   1.039905E-14   1.091901E+17
  166000   1.127624E+07   9.500000E+01   1.013745E-14   1.100915E+17
  167000   1.137124E+07   9.500000E+01   9.884542E-15   1.109927E+17
  168000   1.146624E+07   9.500000E+01   9.639980E-15   1.118936E+17
  169000   1.156124E+07   9.500000E+01   9.403420E-15   1.127943E+17
  170000   1.165624E+07   9.500000E+01   9.174536E-15   1.136948E+17
  171000   1.175124E+07   9.500000E+01   8.953021E-15   1.145950E+17
  172000   1.184624E+07   9.500000E+01   8.738580E-15   1.154950E+17
  173000   1.194124E+07   9.500000E+01   8.530932E-15   1.163948E+17
  174000   1.203624E+07   9.500000E+01   8.329812E-15   1.172944E+17
  175000   1.213124E+07   9.500000E+01   8.134964E-15   1.181938E+17
  176000   1.222624E+07   9.500000E+01   7.946146E-15   1.190929E+17
  177000   1.232124E+07   9.500000E+01   7.763126E-15   1.199918E+17
  178000   1.241624E+07   9.500000E+01   7.585684E-15   1.208905E+17
  179000   1.251124E+07   9.500000E+01   7.413608E-15   1.217890E+17
  180000   1.260624E+07   9.500000E+01   7.246698E-15   1.226874E+17
  181000   1.270124E+07   9.500000E+01   7.084761E-15   1.235855E+17
  182000   1.279624E+07   9.500000E+01   6.927612E-15   1.244834E+17
  183000   1.289124E+07   9.500000E+01   6.775078E-15   1.253811E+17
  184000   1.298624E+07   9.500000E+01   6.626988E-15   1.262787E+17
  185000   1.308124E+07   9.500000E+01   6.483183E-15   1.271760E+17
  186000   1.317624E+07   9.500000E+01   6.343509E-15   1.280732E+17
  187000   1.327124E+07   9.500000E+01   6.207819E-15   1.289702E+17
  188000   1.336624E+07   9.500000E+01   6.075970E-15   1.298670E+17
  189000   1.346124E+07   9.500000E+01   5.947830E-15   1.307636E+17
  190000   1.355624E+07   9.500000E+01   5.823267E-15   1.316601E+17
  191000   1.365124E+07   9.500000E+01   5.702158E-15   1.325564E+17
  192000   1.374624E+07   9.500000E+01   5.584385E-15   1.334525E+17
  193000   1.384124E+07   9.500000E+01   5.469832E-15   1.343485E+17
  194000   1.393624E+07   9.500000E+01   5.358391E-15   1.352443E+17
  195000   1.403124E+07   9.500000E+01   5.249957E-15   1.361399E+17
  196000   1.412624E+07   9.500000E+01   5.144430E-15   1.370354E+17
  197000   1.422124E+07   9.500000E+01   5.041711E-15   1.379307E+17
  198000   1.431624E+07   9.500000E+01   4.941709E-15   1.388259E+17
  199000   1.441124E+07   9.500000E+01   4.844334E-15   1.397209E+17
      nt           time          dtime       max(rho)       shockpos
  200000   1.450624E+07   9.500000E+01   4.749501E-15   1.406158E+17
  201000   1.460124E+07   9.500000E+01   4.657127E-15   1.415105E+17
  202000   1.469624E+07   9.500000E+01   4.567133E-15   1.424051E+17
  203000   1.479124E+07   9.500000E+01   4.479443E-15   1.432995E+17
  204000   1.488624E+07   9.500000E+01   4.393983E-15   1.441938E+17
  205000   1.498124E+07   9.500000E+01   4.310684E-15   1.450880E+17
  206000   1.507624E+07   9.500000E+01   4.229476E-15   1.459820E+17
  207000   1.517124E+07   9.500000E+01   4.150296E-15   1.468759E+17
  208000   1.526624E+07   9.500000E+01   4.073080E-15   1.477696E+17
  209000   1.536124E+07   9.500000E+01   3.997768E-15   1.486633E+17
  210000   1.545624E+07   9.500000E+01   3.924301E-15   1.495568E+17
  211000   1.555124E+07   9.500000E+01   3.852623E-15   1.504501E+17
  212000   1.564624E+07   9.500000E+01   3.782680E-15   1.513434E+17
  213000   1.574124E+07   9.500000E+01   3.714420E-15   1.522365E+17
  214000   1.583624E+07   9.500000E+01   3.647792E-15   1.531295E+17
  215000   1.593124E+07   9.500000E+01   3.582748E-15   1.540224E+17
  216000   1.602624E+07   9.500000E+01   3.519242E-15   1.549152E+17
