Started: 2026-07-02T11:16:26.125316
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/wn3_sce_bare_e0p5_ni001)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: avishai_models/MW-M25M13.75P4-primary-WN3.short
 We have          997 profile zones.
 We have          997 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           21 points
 Total energy of the model =   -1.1782472355889108E+051  ergs
 Total energy of the bomb =    1.6782472355889107E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.759431E+07   1.454740E+08
    1000   3.268699E-01   1.168244E-03   3.844648E+06   6.312694E+08
    2000   6.418399E+00   9.806456E-03   9.716762E+04   5.290480E+09
    3000   1.794600E+01   1.103707E-02   1.031344E+05   1.237352E+10
    4000   2.820421E+01   8.834034E-03   5.604585E+04   1.893080E+10
    5000   3.550775E+01   5.995743E-03   4.017924E+04   2.393130E+10
    6000   4.054139E+01   4.238217E-03   3.379753E+04   2.770604E+10
    7000   4.430787E+01   3.436904E-03   3.015137E+04   3.090669E+10
    8000   4.803088E+01   4.722533E-03   2.706910E+04   3.479223E+10
 finished tracing the shock position
 Time of breakout is   49.698432292019717     
    9000   5.692448E+01   1.582235E-02   2.152960E+04   6.147376E+10
   10000   9.058591E+01   5.477272E-02   1.267369E+04   1.845438E+11
   11000   1.525997E+02   6.928860E-02   8.719303E+03   4.149392E+11
   12000   2.266608E+02   7.618480E-02   7.972141E+03   6.912027E+11
   13000   3.029834E+02   7.720531E-02   7.683725E+03   9.763193E+11
   14000   3.810448E+02   7.843474E-02   7.544034E+03   1.268141E+12
   15000   4.593814E+02   7.832951E-02   7.586353E+03   1.561114E+12
   16000   5.374233E+02   7.786968E-02   7.653405E+03   1.853065E+12
   17000   6.150072E+02   7.726955E-02   7.748034E+03   2.143359E+12
   18000   6.918311E+02   7.648124E-02   7.893128E+03   2.430849E+12
   19000   7.679431E+02   7.565945E-02   8.041680E+03   2.715707E+12
   20000   8.433352E+02   7.505358E-02   8.187293E+03   2.997894E+12
   21000   9.179519E+02   7.430658E-02   8.350589E+03   3.277199E+12
   22000   9.918601E+02   7.360640E-02   8.505924E+03   3.553868E+12
   23000   1.065064E+03   7.276592E-02   8.672231E+03   3.827914E+12
   24000   1.137575E+03   7.213611E-02   8.827781E+03   4.099375E+12
   25000   1.209442E+03   7.159316E-02   8.974621E+03   4.368437E+12
   26000   1.280707E+03   7.097922E-02   9.122682E+03   4.635254E+12
   27000   1.351400E+03   7.042087E-02   9.266148E+03   4.899934E+12
   28000   1.421603E+03   6.997865E-02   9.387605E+03   5.162789E+12
   29000   1.491524E+03   6.989360E-02   9.447687E+03   5.424592E+12
   30000   1.561409E+03   6.987869E-02   9.447011E+03   5.686265E+12
   31000   1.631379E+03   7.016875E-02   9.372883E+03   5.948262E+12
   32000   1.701511E+03   7.026360E-02   9.274342E+03   6.210870E+12
   33000   1.772072E+03   7.054001E-02   9.271749E+03   6.475086E+12
   34000   1.842688E+03   7.104151E-02   9.107950E+03   6.739512E+12
   35000   1.913664E+03   7.091702E-02   9.191541E+03   7.005295E+12
   36000   1.984608E+03   7.137391E-02   9.025217E+03   7.270957E+12
   37000   2.055833E+03   7.092874E-02   9.144683E+03   7.537672E+12
   38000   2.126846E+03   7.127732E-02   9.025849E+03   7.803599E+12
   39000   2.198272E+03   7.096392E-02   9.080748E+03   8.071075E+12
   40000   2.269149E+03   7.086448E-02   9.140698E+03   8.336501E+12
   41000   2.340398E+03   7.152043E-02   9.022003E+03   8.603317E+12
   42000   2.411339E+03   7.059994E-02   9.220290E+03   8.868985E+12
   43000   2.481999E+03   7.079893E-02   9.163642E+03   9.133600E+12
   44000   2.553102E+03   7.109269E-02   9.106046E+03   9.399877E+12
   45000   2.623713E+03   7.036023E-02   9.291158E+03   9.664315E+12
   46000   2.694117E+03   7.048168E-02   9.249541E+03   9.927981E+12
   47000   2.764909E+03   7.099429E-02   9.155060E+03   1.019310E+13
   48000   2.835478E+03   7.026476E-02   9.308543E+03   1.045738E+13
   49000   2.905756E+03   7.025354E-02   9.339930E+03   1.072058E+13
   50000   2.976120E+03   7.060142E-02   9.221350E+03   1.098410E+13
   51000   3.046839E+03   7.045112E-02   9.248754E+03   1.124895E+13
