Started: 2026-06-22T12:37:21.767586
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/wn3_sce_bare_e1_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: avishai_models/MW-M25M13.75P4-primary-WN3.short
 We have          997 profile zones.
 We have          997 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           21 points
 Total energy of the model =   -1.1786950943446718E+051  ergs
 Total energy of the bomb =    2.1786950943446716E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.759431E+07   1.454740E+08
    1000   2.231844E-01   7.145957E-04   6.218138E+06   5.206404E+08
    2000   3.505708E+00   8.066935E-03   8.834129E+04   3.760184E+09
    3000   1.212695E+01   9.741658E-03   4.507156E+04   9.913796E+09
    4000   2.095431E+01   8.510622E-03   3.260802E+04   1.638083E+10
    5000   2.797817E+01   5.848464E-03   2.222492E+04   2.190132E+10
    6000   3.283281E+01   4.104234E-03   1.702133E+04   2.603788E+10
    7000   3.635559E+01   3.101986E-03   1.413890E+04   2.938427E+10
    8000   3.925287E+01   2.930073E-03   1.225541E+04   3.255390E+10
 finished tracing the shock position
 Time of breakout is   42.367797775475474     
    9000   4.350583E+01   6.799831E-03   1.006599E+04   4.142642E+10
   10000   5.759513E+01   2.575250E-02   5.668982E+03   1.016552E+11
   11000   1.090460E+02   7.752713E-02   1.567158E+03   3.309961E+11
   12000   2.142262E+02   1.355578E-01   4.665038E+02   8.038177E+11
   13000   3.928016E+02   2.313886E-01   1.748622E+02   1.608494E+12
   14000   6.945826E+02   3.876836E-01   8.284038E+01   2.969634E+12
   15000   1.215698E+03   6.997744E-01   5.256230E+01   5.321131E+12
   16000   1.928176E+03   5.605899E-01   6.034930E+01   8.536882E+12
   17000   2.390889E+03   3.863039E-01   9.973708E+01   1.062553E+13
   18000   2.728902E+03   3.007247E-01   1.815016E+02   1.215135E+13
   19000   3.011711E+03   2.752185E-01   3.060899E+02   1.342801E+13
   20000   3.303077E+03   2.996552E-01   3.635428E+02   1.474331E+13
   21000   3.594506E+03   2.956303E-01   2.869503E+02   1.605892E+13
   22000   3.908131E+03   3.412217E-01   1.978366E+02   1.747475E+13
   23000   4.288374E+03   4.388134E-01   1.410721E+02   1.919135E+13
   24000   4.783127E+03   5.232196E-01   1.261662E+02   2.142492E+13
   25000   5.245428E+03   4.211276E-01   1.518219E+02   2.351200E+13
   26000   5.640523E+03   3.706807E-01   1.960246E+02   2.529570E+13
   27000   6.002839E+03   3.674136E-01   2.399892E+02   2.693143E+13
   28000   6.376630E+03   3.670306E-01   2.347644E+02   2.861897E+13
   29000   6.751697E+03   3.863961E-01   2.022614E+02   3.031228E+13
   30000   7.156177E+03   4.275978E-01   1.732955E+02   3.213840E+13
   31000   7.608391E+03   4.743747E-01   1.622665E+02   3.418003E+13
   32000   8.061139E+03   4.293778E-01   1.728800E+02   3.622408E+13
   33000   8.477549E+03   4.102988E-01   1.944883E+02   3.810408E+13
   34000   8.887321E+03   4.113126E-01   2.073596E+02   3.995412E+13
   35000   9.299858E+03   4.079881E-01   2.060757E+02   4.181665E+13
   36000   9.710410E+03   4.189002E-01   1.915317E+02   4.367022E+13
   37000   1.014167E+04   4.416780E-01   1.830678E+02   4.561728E+13
   38000   1.058691E+04   4.434943E-01   1.822570E+02   4.762750E+13
   39000   1.102195E+04   4.278559E-01   1.888668E+02   4.959166E+13
   40000   1.144374E+04   4.169756E-01   1.984921E+02   5.149599E+13
