Started: 2026-06-22T12:56:36.104847
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/wn3_sce_mass_m0p01_r5_e0p5_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/generated/avishai_wn3_ext_m0p01_r5.short
 We have         1177 profile zones.
 We have         1177 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           21 points
 Total energy of the model =   -1.1785238357603449E+051  ergs
 Total energy of the bomb =    1.6785238357603449E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.759366E+07   1.454745E+08
    1000   3.279331E-01   1.172244E-03   3.828087E+06   6.331489E+08
    2000   6.450346E+00   9.857962E-03   9.713863E+04   5.304612E+09
    3000   1.809521E+01   1.115889E-02   1.022964E+05   1.246663E+10
    4000   2.861144E+01   9.263610E-03   5.488400E+04   1.921668E+10
    5000   3.632456E+01   6.502365E-03   3.899125E+04   2.450725E+10
    6000   4.222496E+01   5.565572E-03   3.204216E+04   2.908089E+10
    7000   4.932265E+01   1.057521E-02   2.621721E+04   3.884321E+10
    8000   7.251224E+01   4.528971E-02   1.567548E+04   8.028911E+10
    9000   1.292828E+02   6.423512E-02   9.766204E+03   1.684277E+11
   10000   1.949817E+02   6.464091E-02   7.992397E+03   2.593985E+11
   11000   2.581189E+02   6.202780E-02   7.875367E+03   3.416912E+11
 finished tracing the shock position
 Time of breakout is   263.87927373270537     
   12000   3.193648E+02   6.059529E-02   7.578346E+03   4.931574E+11
   13000   3.792882E+02   5.972756E-02   7.494526E+03   6.641233E+11
   14000   4.462667E+02   7.862910E-02   7.537976E+03   8.597641E+11
   15000   5.247527E+02   7.846268E-02   7.589561E+03   1.091958E+12
   16000   6.028156E+02   7.768679E-02   7.680077E+03   1.324712E+12
   17000   6.801437E+02   7.702020E-02   7.812202E+03   1.556419E+12
   18000   7.567310E+02   7.619974E-02   7.969888E+03   1.786696E+12
   19000   8.326080E+02   7.541847E-02   8.117295E+03   2.015414E+12
   20000   9.077052E+02   7.475300E-02   8.274834E+03   2.242220E+12
   21000   9.820740E+02   7.401809E-02   8.431045E+03   2.467171E+12
   22000   1.055736E+03   7.327856E-02   8.594454E+03   2.690263E+12
   23000   1.128690E+03   7.266012E-02   8.749012E+03   2.911440E+12
   24000   1.200987E+03   7.198220E-02   8.903696E+03   3.130815E+12
   25000   1.272673E+03   7.141116E-02   9.049781E+03   3.348497E+12
   26000   1.343773E+03   7.084357E-02   9.192479E+03   3.564541E+12
   27000   1.414361E+03   7.041485E-02   9.317864E+03   3.779148E+12
   28000   1.484624E+03   7.017167E-02   9.395645E+03   3.992873E+12
   29000   1.554834E+03   7.018321E-02   9.400221E+03   4.206531E+12
   30000   1.625060E+03   7.046807E-02   9.311570E+03   4.420319E+12
   31000   1.695563E+03   7.043623E-02   9.276082E+03   4.635031E+12
   32000   1.766381E+03   7.092176E-02   9.171683E+03   4.850768E+12
   33000   1.837272E+03   7.098490E-02   9.111374E+03   5.066792E+12
   34000   1.908628E+03   7.116981E-02   9.086458E+03   5.284289E+12
   35000   1.979817E+03   7.128511E-02   9.039341E+03   5.501333E+12
   36000   2.051479E+03   7.140410E-02   9.012731E+03   5.719867E+12
   37000   2.122785E+03   7.128704E-02   9.057243E+03   5.937362E+12
   38000   2.194496E+03   7.188540E-02   8.940642E+03   6.156133E+12
   39000   2.265840E+03   7.126477E-02   9.128009E+03   6.373822E+12
   40000   2.337141E+03   7.160743E-02   8.996188E+03   6.591417E+12
   41000   2.408773E+03   7.112457E-02   9.069927E+03   6.810057E+12
   42000   2.479732E+03   7.093437E-02   9.183558E+03   7.026673E+12
   43000   2.550871E+03   7.149791E-02   9.051884E+03   7.243866E+12
   44000   2.622196E+03   7.087705E-02   9.151472E+03   7.461656E+12
   45000   2.692921E+03   7.071417E-02   9.253906E+03   7.677641E+12
   46000   2.763742E+03   7.109663E-02   9.128537E+03   7.893940E+12
   47000   2.834943E+03   7.086872E-02   9.159451E+03   8.111428E+12
   48000   2.905604E+03   7.062080E-02   9.286169E+03   8.327284E+12
   49000   2.976211E+03   7.062294E-02   9.249323E+03   8.543001E+12
   50000   3.047115E+03   7.123160E-02   9.139985E+03   8.759642E+12
   51000   3.117988E+03   7.067718E-02   9.252956E+03   8.976207E+12
   52000   3.188563E+03   7.048707E-02   9.313314E+03   9.191884E+12
   53000   3.259057E+03   7.054719E-02   9.264608E+03   9.407329E+12
   54000   3.329873E+03   7.087615E-02   9.210477E+03   9.623777E+12
   55000   3.400702E+03   7.072351E-02   9.245384E+03   9.840281E+12
   56000   3.471156E+03   7.031099E-02   9.351734E+03   1.005565E+13
   57000   3.541498E+03   7.043223E-02   9.322233E+03   1.027070E+13
   58000   3.612028E+03   7.053337E-02   9.300856E+03   1.048634E+13
   59000   3.682658E+03   7.063307E-02   9.275458E+03   1.070229E+13
   60000   3.753136E+03   7.039183E-02   9.339191E+03   1.091780E+13
   61000   3.823478E+03   7.026078E-02   9.371873E+03   1.113290E+13
   62000   3.893674E+03   7.015256E-02   9.391208E+03   1.134757E+13
   63000   3.963968E+03   7.039765E-02   9.352391E+03   1.156256E+13
