Started: 2026-06-22T15:26:57.744114
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/wn3_sce_mass_m0p01_r5_e2_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/generated/avishai_wn3_ext_m0p01_r5.short
 We have         1177 profile zones.
 We have         1177 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           21 points
 Total energy of the model =   -1.1785238357603449E+051  ergs
 Total energy of the bomb =    3.1785238357603446E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.759366E+07   1.454745E+08
    1000   1.373433E-01   3.958492E-04   1.181250E+07   4.079212E+08
    2000   1.250391E+00   2.501117E-03   2.485141E+05   2.058921E+09
    3000   6.255558E+00   6.355705E-03   3.523852E+04   6.649495E+09
    4000   1.331635E+01   6.617684E-03   1.866784E+04   1.290250E+10
    5000   1.972722E+01   5.742419E-03   1.228963E+04   1.891135E+10
    6000   2.470879E+01   4.297455E-03   8.806323E+03   2.396796E+10
    7000   2.858598E+01   3.604058E-03   6.943696E+03   2.836736E+10
    8000   3.276642E+01   5.673438E-03   5.472188E+03   3.439884E+10
    9000   4.415025E+01   2.120502E-02   2.965154E+03   6.731781E+10
   10000   7.937303E+01   4.401966E-02   7.751379E+02   1.508383E+11
   11000   1.232395E+02   4.243649E-02   2.694898E+02   2.444846E+11
   12000   1.646593E+02   4.060062E-02   1.343019E+02   3.268175E+11
 finished tracing the shock position
 Time of breakout is   176.15886403786490     
   13000   2.045924E+02   3.944258E-02   7.939572E+01   4.584219E+11
   14000   2.435643E+02   3.886887E-02   5.194593E+01   6.249209E+11
   15000   2.842797E+02   4.804451E-02   3.583865E+01   8.038088E+11
   16000   3.500898E+02   8.841351E-02   2.161709E+01   1.097561E+12
   17000   4.596026E+02   1.209218E-01   1.115077E+01   1.592314E+12
   18000   5.867363E+02   1.345847E-01   6.301229E+00   2.171146E+12
   19000   7.299950E+02   1.524518E-01   3.658069E+00   2.826384E+12
   20000   8.900911E+02   1.680274E-01   2.263552E+00   3.560812E+12
   21000   1.065448E+03   1.842157E-01   1.458536E+00   4.366902E+12
   22000   1.257067E+03   2.015145E-01   9.671756E-01   5.249055E+12
   23000   1.466547E+03   2.173328E-01   6.636557E-01   6.214495E+12
   24000   1.691886E+03   2.355892E-01   4.627381E-01   7.253902E+12
   25000   1.934866E+03   2.503838E-01   3.345488E-01   8.375401E+12
   26000   2.194975E+03   2.721403E-01   2.402895E-01   9.576581E+12
   27000   2.475051E+03   2.878381E-01   1.793213E-01   1.087051E+13
   28000   2.776879E+03   3.127353E-01   1.315421E-01   1.226545E+13
   29000   3.101334E+03   3.360114E-01   9.841218E-02   1.376545E+13
   30000   3.453420E+03   3.680181E-01   7.264280E-02   1.539367E+13
   31000   3.835617E+03   3.996983E-01   5.433959E-02   1.716160E+13
   32000   4.256787E+03   4.404552E-01   4.011361E-02   1.911025E+13
   33000   4.722044E+03   4.950304E-01   2.905545E-02   2.126332E+13
   34000   5.244297E+03   5.496253E-01   2.125074E-02   2.368059E+13
   35000   5.837257E+03   6.381043E-01   1.479979E-02   2.642560E+13
   36000   6.525528E+03   7.431867E-01   1.018363E-02   2.961231E+13
   37000   7.350181E+03   9.131293E-01   6.546008E-03   3.343100E+13
   38000   8.365154E+03   1.137157E+00   4.065523E-03   3.813162E+13
   39000   9.669875E+03   1.500918E+00   2.310513E-03   4.417493E+13
   40000   1.145594E+04   2.131607E+00   1.162635E-03   5.244881E+13
   41000   1.411876E+04   3.358534E+00   4.878540E-04   6.478604E+13
   42000   1.864182E+04   6.134451E+00   1.631795E-04   8.574510E+13
   43000   2.712687E+04   9.500000E+00   3.921192E-05   1.250677E+14
   44000   3.662687E+04   9.500000E+00   1.281510E-05   1.690940E+14
   45000   4.612687E+04   9.500000E+00   5.519293E-06   2.131172E+14
   46000   5.562687E+04   9.500000E+00   2.814097E-06   2.571364E+14
   47000   6.512687E+04   9.500000E+00   1.604822E-06   3.011518E+14
   48000   7.462687E+04   9.500000E+00   9.938114E-07   3.451644E+14
   49000   8.412687E+04   9.500000E+00   6.538584E-07   3.891750E+14
   50000   9.362687E+04   9.500000E+00   4.509473E-07   4.331845E+14
   51000   1.031269E+05   9.500000E+00   3.231937E-07   4.771933E+14
   52000   1.126269E+05   9.500000E+00   2.386846E-07   5.212016E+14
   53000   1.221269E+05   9.500000E+00   1.808733E-07   5.652095E+14
   54000   1.316269E+05   9.500000E+00   1.400366E-07   6.092171E+14
   55000   1.411269E+05   9.500000E+00   1.104445E-07   6.532245E+14
   56000   1.506269E+05   9.500000E+00   8.850095E-08   6.972317E+14
   57000   1.601269E+05   9.500000E+00   7.190983E-08   7.412388E+14
   58000   1.696269E+05   9.500000E+00   5.913497E-08   7.852457E+14
 Done! :-) tend reached

Finished: 2026-06-22T15:32:49.919498
Exit code: 0
Elapsed: 352.2 s
