Started: 2026-06-22T15:32:50.243608
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/wn3_sce_radius_m0p01_r50_e0p5_ni050)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/generated/avishai_wn3_ext_m0p01_r50.short
 We have         1177 profile zones.
 We have         1177 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           21 points
 Total energy of the model =   -1.1784029727250074E+051  ergs
 Total energy of the bomb =    1.6784029727250074E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.759366E+07   1.454745E+08
    1000   3.279678E-01   1.172522E-03   3.827267E+06   6.331622E+08
    2000   6.451164E+00   9.862102E-03   9.715754E+04   5.304718E+09
    3000   1.809692E+01   1.115733E-02   1.023220E+05   1.246690E+10
    4000   2.861375E+01   9.271386E-03   5.488899E+04   1.921691E+10
    5000   3.632703E+01   6.502480E-03   3.901067E+04   2.450763E+10
    6000   4.222763E+01   5.568773E-03   3.204943E+04   2.908124E+10
    7000   4.932650E+01   1.057783E-02   2.622251E+04   6.133581E+10
    8000   7.252305E+01   4.530570E-02   1.567956E+04   1.315497E+11
    9000   1.292866E+02   6.421269E-02   9.773413E+03   2.450107E+11
   10000   2.001637E+02   7.587885E-02   7.995217E+03   3.664321E+11
   11000   2.765918E+02   7.657850E-02   7.791150E+03   5.085024E+11
   12000   3.543348E+02   7.882541E-02   7.498496E+03   6.465721E+11
   13000   4.330980E+02   7.877893E-02   7.531702E+03   7.810750E+11
   14000   5.116179E+02   7.828000E-02   7.593785E+03   9.117187E+11
   15000   5.897386E+02   7.781384E-02   7.662909E+03   1.038697E+12
   16000   6.671784E+02   7.709822E-02   7.794960E+03   1.144155E+12
   17000   7.438495E+02   7.634226E-02   7.950168E+03   1.263629E+12
   18000   8.198350E+02   7.558342E-02   8.093508E+03   1.380039E+12
   19000   8.950316E+02   7.484835E-02   8.251966E+03   1.493362E+12
   20000   9.694975E+02   7.412525E-02   8.410490E+03   1.603768E+12
   21000   1.043252E+03   7.338023E-02   8.569965E+03   1.711374E+12
   22000   1.116299E+03   7.267551E-02   8.732363E+03   1.816292E+12
