Started: 2026-07-02T12:26:13.625377
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/model_variants/wn3_sce_radius_m0p01_r50_e1_ni001)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/generated/avishai_wn3_ext_m0p01_r50.short
 We have         1177 profile zones.
 We have         1177 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           21 points
 Total energy of the model =   -1.1779539163692253E+051  ergs
 Total energy of the bomb =    2.1779539163692253E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   4.759366E+07   1.454745E+08
    1000   2.241612E-01   7.183946E-04   6.170580E+06   5.219499E+08
    2000   3.530796E+00   8.005911E-03   8.768013E+04   3.772154E+09
    3000   1.222054E+01   9.808560E-03   4.527892E+04   9.979446E+09
    4000   2.121651E+01   8.843347E-03   3.231300E+04   1.659176E+10
    5000   2.849464E+01   6.075673E-03   2.172486E+04   2.232238E+10
    6000   3.383365E+01   4.738971E-03   1.611113E+04   2.694807E+10
    7000   3.864441E+01   5.562676E-03   1.260415E+04   3.186591E+10
    8000   4.841625E+01   1.742416E-02   8.058233E+03   6.884212E+10
    9000   8.717269E+01   6.297020E-02   2.416853E+03   1.793603E+11
   10000   1.752883E+02   1.155902E-01   6.654123E+02   3.942031E+11
   11000   3.259427E+02   1.756099E-01   2.340920E+02   7.113784E+11
   12000   4.960988E+02   1.670618E-01   1.270890E+02   1.040144E+12
   13000   6.575153E+02   1.589088E-01   8.905419E+01   1.325468E+12
   14000   8.140131E+02   1.542292E-01   7.114725E+01   1.606640E+12
   15000   9.676234E+02   1.520309E-01   6.122481E+01   1.885418E+12
   16000   1.118904E+03   1.502600E-01   5.535509E+01   2.132777E+12
   17000   1.268434E+03   1.486507E-01   5.277395E+01   2.379735E+12
   18000   1.416370E+03   1.468254E-01   5.201590E+01   2.622974E+12
   19000   1.562938E+03   1.460312E-01   5.277223E+01   2.861448E+12
   20000   1.708586E+03   1.454313E-01   5.552576E+01   3.094179E+12
   21000   1.853475E+03   1.444658E-01   5.978048E+01   3.319796E+12
 finished tracing the shock position
 Time of breakout is   1963.6699001304889     
   22000   1.997433E+03   1.436357E-01   6.662514E+01   3.571352E+12
   23000   2.140818E+03   1.430229E-01   7.700690E+01   3.997357E+12
   24000   2.283528E+03   1.423982E-01   9.180114E+01   4.454328E+12
   25000   2.425785E+03   1.421602E-01   1.135055E+02   4.924239E+12
   26000   2.567800E+03   1.418601E-01   1.455226E+02   5.402108E+12
   27000   2.709532E+03   1.415468E-01   1.917652E+02   5.885067E+12
   28000   2.850868E+03   1.417385E-01   2.531208E+02   6.371156E+12
   29000   3.001778E+03   1.658057E-01   3.245944E+02   6.894001E+12
   30000   3.188993E+03   2.108446E-01   3.726768E+02   7.546952E+12
   31000   3.427955E+03   2.698500E-01   3.326213E+02   8.385776E+12
   32000   3.721357E+03   3.109702E-01   2.389528E+02   9.421969E+12
   33000   4.064391E+03   3.774063E-01   1.652012E+02   1.063994E+13
   34000   4.504885E+03   4.981914E-01   1.324764E+02   1.221138E+13
   35000   4.998206E+03   4.432523E-01   1.423257E+02   1.397843E+13
   36000   5.409668E+03   3.856390E-01   1.822147E+02   1.545662E+13
   37000   5.776301E+03   3.552051E-01   2.312604E+02   1.677647E+13
   38000   6.142140E+03   3.713103E-01   2.514551E+02   1.809567E+13
   39000   6.506970E+03   3.711701E-01   2.223449E+02   1.941323E+13
   40000   6.892657E+03   4.023558E-01   1.900106E+02   2.080809E+13
   41000   7.318776E+03   4.498652E-01   1.709244E+02   2.235134E+13
   42000   7.774231E+03   4.400379E-01   1.734836E+02   2.400312E+13
   43000   8.193925E+03   4.054685E-01   1.940942E+02   2.552708E+13
   44000   8.596634E+03   4.018166E-01   2.122563E+02   2.699089E+13
   45000   9.002248E+03   4.071893E-01   2.171063E+02   2.846660E+13
   46000   9.404616E+03   4.030531E-01   2.059451E+02   2.993172E+13
   47000   9.818386E+03   4.261175E-01   1.932463E+02   3.143950E+13
   48000   1.025231E+04   4.383661E-01   1.903384E+02   3.302185E+13
   49000   1.068403E+04   4.234722E-01   1.945089E+02   3.459720E+13
   50000   1.110066E+04   4.106017E-01   2.044620E+02   3.611837E+13
   51000   1.150911E+04   4.098684E-01   2.129241E+02   3.761046E+13
   52000   1.192012E+04   4.117848E-01   2.145303E+02   3.911264E+13
   53000   1.233026E+04   4.098638E-01   2.114154E+02   4.061226E+13
   54000   1.274340E+04   4.170750E-01   2.071823E+02   4.212349E+13
   55000   1.316262E+04   4.189767E-01   2.064779E+02   4.365756E+13
   56000   1.357843E+04   4.129592E-01   2.094487E+02   4.517968E+13
   57000   1.398943E+04   4.105138E-01   2.134141E+02   4.668464E+13
   58000   1.439935E+04   4.096962E-01   2.155600E+02   4.818615E+13
   59000   1.480927E+04   4.087546E-01   2.146848E+02   4.968809E+13
   60000   1.521892E+04   4.129008E-01   2.104388E+02   5.118941E+13
   61000   1.563471E+04   4.176536E-01   2.090270E+02   5.271361E+13
   62000   1.605178E+04   4.168834E-01   2.094669E+02   5.424288E+13
   63000   1.646811E+04   4.155922E-01   2.083819E+02   5.576979E+13
   64000   1.688570E+04   4.196701E-01   2.064850E+02   5.730162E+13
   65000   1.730580E+04   4.198791E-01   2.064618E+02   5.884295E+13
   66000   1.772554E+04   4.193486E-01   2.069161E+02   6.038327E+13
   67000   1.814477E+04   4.183028E-01   2.062039E+02   6.192199E+13
   68000   1.856353E+04   4.200254E-01   2.030007E+02   6.345926E+13
   69000   1.898604E+04   4.251409E-01   2.000541E+02   6.501053E+13
   70000   1.941289E+04   4.282046E-01   1.989254E+02   6.657798E+13
   71000   1.983963E+04   4.251649E-01   2.001236E+02   6.814525E+13
   72000   2.026256E+04   4.210496E-01   2.027882E+02   6.969877E+13
   73000   2.068365E+04   4.216344E-01   2.046516E+02   7.124569E+13
   74000   2.110537E+04   4.219630E-01   2.041826E+02   7.279516E+13
   75000   2.152785E+04   4.227948E-01   2.034437E+02   7.434757E+13
   76000   2.195132E+04   4.239854E-01   2.030277E+02   7.590380E+13
   77000   2.237520E+04   4.233489E-01   2.031829E+02   7.746175E+13
   78000   2.279859E+04   4.233932E-01   2.029395E+02   7.901805E+13
   79000   2.322263E+04   4.238156E-01   2.028050E+02   8.057689E+13
   80000   2.364463E+04   4.204448E-01   2.042989E+02   8.212838E+13
   81000   2.406370E+04   4.178803E-01   2.065483E+02   8.366926E+13
   82000   2.448153E+04   4.179843E-01   2.080613E+02   8.520570E+13
   83000   2.489958E+04   4.176727E-01   2.079186E+02   8.674308E+13
   84000   2.531795E+04   4.191277E-01   2.069076E+02   8.828179E+13
   85000   2.573784E+04   4.202848E-01   2.065992E+02   8.982619E+13
   86000   2.615775E+04   4.191059E-01   2.068780E+02   9.137080E+13
   87000   2.657622E+04   4.180519E-01   2.078295E+02   9.291022E+13
   88000   2.699423E+04   4.176379E-01   2.084599E+02   9.444808E+13
   89000   2.741064E+04   4.156891E-01   2.096979E+02   9.598014E+13
   90000   2.782594E+04   4.152184E-01   2.107812E+02   9.750820E+13
   91000   2.824141E+04   4.151443E-01   2.105655E+02   9.903700E+13
   92000   2.865676E+04   4.162669E-01   2.091257E+02   1.005655E+14
   93000   2.907402E+04   4.182343E-01   2.082381E+02   1.021010E+14
   94000   2.949254E+04   4.184483E-01   2.082145E+02   1.036413E+14
   95000   2.991036E+04   4.173269E-01   2.087264E+02   1.051791E+14
   96000   3.032737E+04   4.168815E-01   2.093898E+02   1.067141E+14
   97000   3.074455E+04   4.169441E-01   2.093461E+02   1.082497E+14
   98000   3.116111E+04   4.167773E-01   2.079680E+02   1.097830E+14
   99000   3.157912E+04   4.193064E-01   2.063324E+02   1.113218E+14
