Started: 2026-06-09T18:03:13.154742
Command: ./snec (cwd=/Users/arifchu/Desktop/GitHub/supernova_theory/snec/runs/week1_nickel_study/ni_150)


 ***********************************
 * Supernova Explosion Code (SNEC) *
 ***********************************

 Removing output directory contents: Data
 Using the Paczynski EOS!
 Profile file: profiles/15Msol_RSG.short
 We have         3208 profile zones.
 We have         3208 composition profile zones.
************************************************************
 Operating in Thermal Bomb Mode  1
 Bomb energy is spread over =           14 points
 Total energy of the model =   -6.4268446607477511E+050  ergs
 Total energy of the bomb =    1.6426844660747752E+051  ergs
************************************************************
 composing opacity tables from OPAL (may take a few minutes)...
 finished composing opacity tables
      nt           time          dtime       max(rho)       shockpos
       0   0.000000E+00   1.025000E-08   5.556077E+07   1.101959E+08
    1000   1.392920E+00   7.056439E-03   1.291473E+05   2.154244E+09
    2000   8.125590E+01   1.929987E-01   1.486270E+02   7.355499E+10
    3000   4.100771E+02   4.735745E-01   4.123692E+00   1.558018E+12
    4000   1.033269E+03   7.832301E-01   4.458901E-01   1.778191E+12
    5000   1.974065E+03   1.125564E+00   8.911976E-02   2.904120E+12
    6000   3.377852E+03   1.752220E+00   2.010721E-02   4.043499E+12
    7000   5.791504E+03   3.333152E+00   3.746565E-03   5.841602E+12
    8000   1.106669E+04   8.863411E+00   3.909411E-04   9.474403E+12
    9000   2.384556E+04   1.460862E+01   2.081519E-05   1.703397E+13
   10000   3.964673E+04   1.816199E+01   3.272194E-06   2.475182E+13
   11000   6.063839E+04   2.477171E+01   1.399913E-06   3.368541E+13
   12000   9.237186E+04   4.084848E+01   6.159739E-07   4.549561E+13
   13000   1.315255E+05   2.924092E+01   3.296539E-07   5.896339E+13
   14000   1.523575E+05   1.468171E+01   2.389853E-07   6.582221E+13
   15000   1.629073E+05   7.510196E+00   2.048001E-07   6.931703E+13
   16000   1.682786E+05   3.189951E+00   1.899206E-07   7.112528E+13
   17000   1.703109E+05   1.411223E+00   1.847637E-07   7.178923E+13
 Time of breakout is   170674.12016764755     
 finished tracing the shock position
   18000   1.714229E+05   1.079660E+00   1.821522E-07   7.236639E+13
   19000   1.731250E+05   2.818509E+00   1.782515E-07   7.360797E+13
   20000   1.782827E+05   8.057188E+00   1.670517E-07   7.803462E+13
   21000   1.909080E+05   1.849264E+01   1.402986E-07   8.940008E+13
   22000   2.193120E+05   4.126705E+01   9.820861E-08   1.159036E+14
   23000   2.796652E+05   8.297778E+01   5.241203E-08   1.738674E+14
   24000   3.733663E+05   9.500000E+01   2.758798E-08   2.658167E+14
   25000   4.683663E+05   9.500000E+01   1.468750E-08   3.616312E+14
   26000   5.633663E+05   9.500000E+01   8.358435E-09   4.594320E+14
   27000   6.583663E+05   9.500000E+01   5.145608E-09   5.593794E+14
   28000   7.533663E+05   9.500000E+01   3.276604E-09   6.611939E+14
   29000   8.483663E+05   9.500000E+01   2.197876E-09   7.649563E+14
   30000   9.433663E+05   9.500000E+01   1.546164E-09   8.705089E+14
   31000   1.038366E+06   9.500000E+01   1.126884E-09   9.778474E+14
   32000   1.133366E+06   9.500000E+01   8.477519E-10   1.086935E+15
   33000   1.228366E+06   9.500000E+01   6.549790E-10   1.197697E+15
   34000   1.323366E+06   9.500000E+01   5.165615E-10   1.310194E+15
   35000   1.418366E+06   9.500000E+01   4.138662E-10   1.424319E+15
   36000   1.513366E+06   9.500000E+01   3.358143E-10   1.540133E+15
   37000   1.608366E+06   9.500000E+01   2.754560E-10   1.657601E+15
   38000   1.703366E+06   9.500000E+01   2.284213E-10   1.776677E+15
   39000   1.798366E+06   9.500000E+01   1.912892E-10   1.897445E+15
   40000   1.893366E+06   9.500000E+01   1.614953E-10   2.019806E+15
   41000   1.988366E+06   9.500000E+01   1.373746E-10   2.143807E+15
   42000   2.083366E+06   9.500000E+01   1.176796E-10   2.269495E+15
   43000   2.178366E+06   9.500000E+01   1.014666E-10   2.396754E+15
   44000   2.273366E+06   9.500000E+01   8.801964E-11   2.525690E+15
   45000   2.368366E+06   9.500000E+01   7.678911E-11   2.656295E+15
   46000   2.463366E+06   9.500000E+01   6.734737E-11   2.788455E+15
   47000   2.558366E+06   9.500000E+01   5.935974E-11   2.922324E+15
   48000   2.653366E+06   9.500000E+01   5.256227E-11   3.057827E+15
   49000   2.748366E+06   9.500000E+01   4.674513E-11   3.194881E+15
   50000   2.843366E+06   9.500000E+01   4.176676E-11   3.333659E+15
   51000   2.938366E+06   9.500000E+01   3.745996E-11   3.474021E+15
   52000   3.033366E+06   9.500000E+01   3.371576E-11   3.615941E+15
   53000   3.128366E+06   9.500000E+01   3.044665E-11   3.759571E+15
   54000   3.223366E+06   9.500000E+01   2.758104E-11   3.904716E+15
   55000   3.318366E+06   9.500000E+01   2.505988E-11   4.051435E+15
   56000   3.413366E+06   9.500000E+01   2.283393E-11   4.199816E+15
